steps,time_in_bed_hours,active_cals_kcal,exercise_min,nonsedentary_hours,daylight_hours,distance_m,flights,resting_hr_bpm
8676.0,16.666666666666668,5.073,0.0,7.333333333333332,0.7019636396834167,6751.0,13.0,55.0
10581.0,17.033333333333335,7.412,44.0,6.966666666666665,0.9913672751849052,7252.0,7.0,51.5
10054.0,8.35,3.084,58.0,15.65,1.7756833594335764,7718.0,6.0,59.0
14004.0,8.383333333333333,3.735,0.0,15.616666666666667,2.2061038390261145,11842.0,9.0,57.0
9401.0,8.6,3.466,46.0,15.4,2.2049057973611297,7270.0,18.0,54.0
7441.0,8.766666666666667,2.514,49.0,15.233333333333333,0.5,5440.0,0.0,52.0
10448.0,8.016666666666667,3.294,0.0,15.983333333333333,0.5,7571.0,13.0,55.0
10549.0,8.133333333333333,4.778,0.0,15.866666666666667,2.3878884450227216,7696.0,0.0,55.0
13397.0,8.133333333333333,3.524,203.0,15.866666666666667,2.5180742319500222,9878.0,9.0,54.0
12087.0,15.716666666666667,5.694,0.0,8.283333333333333,0.5,8837.0,17.0,52.5
10892.0,16.566666666666666,5.351,0.0,7.433333333333334,0.5,8668.0,11.0,50.0
13658.0,8.466666666666667,3.249,0.0,15.533333333333333,1.722657708038374,9060.0,9.0,53.0
7028.0,8.533333333333333,4.672,0.0,15.466666666666667,2.298253425112037,5573.0,5.0,51.0
8400.0,0.0,0.0,163.0,24.0,3.75831616570402,6140.0,8.0,0.0
7683.0,16.85,5.665,0.0,7.149999999999999,1.1764083004710155,5907.0,6.0,50.0
9025.0,8.533333333333333,2.99,44.0,15.466666666666667,1.3864649790566803,6260.0,3.0,50.0
6558.0,7.05,3.363,77.0,16.95,1.1698085648905963,5354.0,6.0,50.0
11587.0,8.25,3.793,0.0,15.75,1.6830159041694581,9412.0,9.0,51.0
9444.0,9.283333333333333,2.787,67.0,14.716666666666667,1.3621813739469872,7536.0,3.0,49.0
6322.0,7.666666666666667,3.779,0.0,16.333333333333332,1.022785799323162,4263.0,3.0,50.0
7461.0,8.616666666666667,3.878,0.0,15.383333333333333,3.0724622889376336,5905.0,0.0,51.0
10783.0,8.233333333333333,4.501,61.0,15.766666666666667,2.926284548117158,8306.0,10.0,59.0
12095.0,8.133333333333333,3.323,98.0,15.866666666666667,2.481900745155466,8100.0,11.0,50.0
14991.0,0.0,0.0,64.0,24.0,1.8554047215336107,11225.0,9.0,0.0
17284.0,16.45,6.33,60.0,7.550000000000001,1.453513527008095,13278.0,14.0,53.5
11036.0,8.166666666666666,3.831,47.0,15.833333333333334,2.1310718199818646,8583.0,9.0,51.0
7526.0,8.35,3.15,0.0,15.65,1.974781936942837,5711.0,10.0,54.0
4669.0,8.233333333333333,3.256,45.0,15.766666666666667,2.5514323535973107,3570.0,10.0,56.0
10669.0,8.033333333333333,3.782,0.0,15.966666666666667,2.141426466669561,8788.0,7.0,49.0
7967.0,8.5,4.926,188.0,15.5,2.168009965413035,6464.0,5.0,55.0
8961.0,0.0,0.0,198.0,24.0,2.945834398360547,5436.0,21.0,0.0
8469.0,8.283333333333333,3.574,118.0,15.716666666666667,1.9102206522681406,6217.0,5.0,63.0
9648.0,8.75,5.797,270.0,15.25,0.5,7156.0,4.0,53.0
12664.0,16.8,5.983,0.0,7.199999999999999,0.8785347541873898,8389.0,11.0,58.5
10392.0,8.883333333333333,4.411,95.0,15.116666666666667,1.2223322954722793,7843.0,10.0,60.0
9603.0,11.316666666666666,5.465,0.0,12.683333333333334,0.5,7802.0,0.0,56.5
7410.0,8.766666666666667,2.884,0.0,15.233333333333333,2.8006049668439097,5155.0,15.0,56.0
5813.0,8.666666666666666,3.787,0.0,15.333333333333334,2.8436300719533256,4457.0,7.0,63.0
8784.0,8.816666666666666,2.577,40.0,15.183333333333334,2.5697877535402616,6185.0,1.0,61.0
9865.0,8.633333333333333,2.958,0.0,15.366666666666667,1.815316058465779,7067.0,15.0,56.0
14419.0,8.883333333333333,2.627,0.0,15.116666666666667,2.5571042513335263,11880.0,12.0,57.0
10325.0,10.066666666666666,2.292,75.0,13.933333333333334,1.5017705597546114,7464.0,0.0,64.0
12456.0,8.916666666666666,3.579,30.0,15.083333333333334,1.7502914271617789,9630.0,19.0,62.0
8751.0,8.35,3.224,100.0,15.65,0.8995700406766121,5744.0,12.0,64.0
7037.0,8.633333333333333,2.401,108.0,15.366666666666667,1.9145605798158547,5933.0,8.0,61.0
7587.0,8.8,2.323,41.0,15.2,1.6622701498970918,5919.0,18.0,64.0
8186.0,7.816666666666666,3.269,0.0,16.183333333333334,0.8064768515492083,6065.0,9.0,58.0
15321.0,8.55,3.586,76.0,15.45,1.6091620217283822,11931.0,8.0,54.0
7946.0,7.916666666666667,3.303,177.0,16.083333333333332,1.6525226386335674,5399.0,4.0,60.0
12096.0,8.05,2.584,0.0,15.95,2.9532928166512478,9787.0,11.0,59.0
7742.0,9.666666666666666,2.674,0.0,14.333333333333334,2.15928266329272,5681.0,11.0,54.0
